"corpus","word_length","n_words","ngram","trigram","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8"
"subtlex_uk",3,5268,"trigram","AEL","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AEM","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AEN","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AEO","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AEP","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AEQ","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AER","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AES","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AET","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AEU","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AEV","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AEW","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AEX","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AEY","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AEZ","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFA","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFB","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFC","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFD","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFE","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFF","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFG","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFH","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFI","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFJ","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFK","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFL","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFM","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFN","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFO","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFP","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFQ","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFR","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFS","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFT","type",1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFU","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFV","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFW","type",0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"trigram","AFX","type",0,NA,NA,NA,NA,NA,NA,NA
