"corpus","word_length","n_words","ngram","trigram","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8"
"subtlex_uk",9,17911,"trigram","RBU","token",0,28.0000000000002,1190,458.000000000004,139,72.0000000000001,0,NA
"subtlex_uk",9,17911,"trigram","RBV","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RBW","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RBX","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RBY","token",0,0,0,1.99999999999998,0,0,38.9999999999999,NA
"subtlex_uk",9,17911,"trigram","RBZ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCA","token",0,6.99999999999993,586.999999999999,0,2220.99999999998,0,0,NA
"subtlex_uk",9,17911,"trigram","RCB","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCC","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCD","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCE","token",0,0,7454.00000000003,1.99999999999998,465,6103.00000000006,2335.99999999998,NA
"subtlex_uk",9,17911,"trigram","RCF","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCG","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCH","token",0,6069.00000000003,3869.00000000001,7110.99999999994,17,672.000000000001,429.000000000003,NA
"subtlex_uk",9,17911,"trigram","RCI","token",0,0,282.000000000001,1237.99999999999,429.999999999999,0,0,NA
"subtlex_uk",9,17911,"trigram","RCJ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCK","token",0,0,0,0,2.99999999999998,0,0,NA
"subtlex_uk",9,17911,"trigram","RCL","token",0,0,10.0000000000001,4.00000000000001,161,0,0,NA
"subtlex_uk",9,17911,"trigram","RCM","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCN","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCO","token",0,0,196,114,101,0,0,NA
"subtlex_uk",9,17911,"trigram","RCP","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCQ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCR","token",0,0,23.9999999999998,1382.99999999999,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCS","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RCT","token",0,0,0,0,696.999999999997,0,0,NA
"subtlex_uk",9,17911,"trigram","RCU","token",0,0,579.000000000001,4.00000000000001,35,210.999999999999,0,NA
