"corpus","word_length","n_words","ngram","letter","method","freq"
"subtlex_uk",8,22770,"letter","X","token",96786.0000000001
"subtlex_uk",8,22770,"letter","Y","token",1143030
"subtlex_uk",8,22770,"letter","Z","token",42848
"subtlex_uk",9,17911,"letter","A","token",2846996
"subtlex_uk",9,17911,"letter","B","token",609144
"subtlex_uk",9,17911,"letter","C","token",1876515
"subtlex_uk",9,17911,"letter","D","token",1583803
"subtlex_uk",9,17911,"letter","E","token",5268707
"subtlex_uk",9,17911,"letter","F","token",932649
"subtlex_uk",9,17911,"letter","G","token",1222765
"subtlex_uk",9,17911,"letter","H","token",973313
"subtlex_uk",9,17911,"letter","I","token",3825927
"subtlex_uk",9,17911,"letter","J","token",29685
"subtlex_uk",9,17911,"letter","K","token",162084
"subtlex_uk",9,17911,"letter","L","token",2091872
"subtlex_uk",9,17911,"letter","M","token",1298808
"subtlex_uk",9,17911,"letter","N","token",3433985
"subtlex_uk",9,17911,"letter","O","token",2740722
"subtlex_uk",9,17911,"letter","P","token",1047965
"subtlex_uk",9,17911,"letter","Q","token",76920.9999999998
"subtlex_uk",9,17911,"letter","R","token",2919833
"subtlex_uk",9,17911,"letter","S","token",2873332
"subtlex_uk",9,17911,"letter","T","token",3381897
"subtlex_uk",9,17911,"letter","U","token",1305313
"subtlex_uk",9,17911,"letter","V","token",483236.000000001
"subtlex_uk",9,17911,"letter","W","token",318540
"subtlex_uk",9,17911,"letter","X","token",123370
"subtlex_uk",9,17911,"letter","Y","token",691933
"subtlex_uk",9,17911,"letter","Z","token",26215
"subtlex_uk",10,13135,"letter","A","token",1641547
"subtlex_uk",10,13135,"letter","B","token",376274
"subtlex_uk",10,13135,"letter","C","token",1159157
"subtlex_uk",10,13135,"letter","D","token",922926.000000001
"subtlex_uk",10,13135,"letter","E","token",3688318
"subtlex_uk",10,13135,"letter","F","token",339083
"subtlex_uk",10,13135,"letter","G","token",811666.000000001
"subtlex_uk",10,13135,"letter","H","token",599460.999999999
"subtlex_uk",10,13135,"letter","I","token",2335642
"subtlex_uk",10,13135,"letter","J","token",16059
"subtlex_uk",10,13135,"letter","K","token",82723
"subtlex_uk",10,13135,"letter","L","token",1414968
"subtlex_uk",10,13135,"letter","M","token",777131.000000002
"subtlex_uk",10,13135,"letter","N","token",2377208
"subtlex_uk",10,13135,"letter","O","token",1692835
"subtlex_uk",10,13135,"letter","P","token",801602
"subtlex_uk",10,13135,"letter","Q","token",25090
"subtlex_uk",10,13135,"letter","R","token",1993821
"subtlex_uk",10,13135,"letter","S","token",1835027
"subtlex_uk",10,13135,"letter","T","token",2161640
"subtlex_uk",10,13135,"letter","U","token",881947
"subtlex_uk",10,13135,"letter","V","token",552849.000000001
"subtlex_uk",10,13135,"letter","W","token",135277
"subtlex_uk",10,13135,"letter","X","token",70630.0000000002
"subtlex_uk",10,13135,"letter","Y","token",534360.999999999
"subtlex_uk",10,13135,"letter","Z","token",13509
