"corpus","word_length","n_words","ngram","bigram","method","freq"
"subtlex_uk",3,5268,"bigram","GT","token",499.000000000001
"subtlex_uk",3,5268,"bigram","GU","token",41827.0000000004
"subtlex_uk",3,5268,"bigram","GV","token",170
"subtlex_uk",3,5268,"bigram","GW","token",29.0000000000001
"subtlex_uk",3,5268,"bigram","GX","token",0
"subtlex_uk",3,5268,"bigram","GY","token",3185.00000000001
"subtlex_uk",3,5268,"bigram","GZ","token",1.99999999999998
"subtlex_uk",3,5268,"bigram","HA","token",1146708
"subtlex_uk",3,5268,"bigram","HB","token",91.9999999999995
"subtlex_uk",3,5268,"bigram","HC","token",180.000000000001
"subtlex_uk",3,5268,"bigram","HD","token",602.000000000004
"subtlex_uk",3,5268,"bigram","HE","token",10367683.0000001
"subtlex_uk",3,5268,"bigram","HF","token",48.0000000000002
"subtlex_uk",3,5268,"bigram","HG","token",124
"subtlex_uk",3,5268,"bigram","HH","token",9904.00000000006
"subtlex_uk",3,5268,"bigram","HI","token",863422.000000005
"subtlex_uk",3,5268,"bigram","HJ","token",11.0000000000001
"subtlex_uk",3,5268,"bigram","HK","token",48.9999999999998
"subtlex_uk",3,5268,"bigram","HL","token",66.9999999999999
"subtlex_uk",3,5268,"bigram","HM","token",16401.0000000002
"subtlex_uk",3,5268,"bigram","HN","token",51.0000000000002
"subtlex_uk",3,5268,"bigram","HO","token",901613.999999998
"subtlex_uk",3,5268,"bigram","HP","token",245.000000000001
"subtlex_uk",3,5268,"bigram","HQ","token",27
"subtlex_uk",3,5268,"bigram","HR","token",175.000000000001
"subtlex_uk",3,5268,"bigram","HS","token",11677
"subtlex_uk",3,5268,"bigram","HT","token",136
"subtlex_uk",3,5268,"bigram","HU","token",23079.0000000002
"subtlex_uk",3,5268,"bigram","HV","token",22.9999999999999
"subtlex_uk",3,5268,"bigram","HW","token",78.0000000000005
"subtlex_uk",3,5268,"bigram","HX","token",1.99999999999998
"subtlex_uk",3,5268,"bigram","HY","token",218564.999999999
"subtlex_uk",3,5268,"bigram","HZ","token",4.99999999999996
"subtlex_uk",3,5268,"bigram","IA","token",22858
"subtlex_uk",3,5268,"bigram","IB","token",9363.99999999999
"subtlex_uk",3,5268,"bigram","IC","token",26636.9999999998
"subtlex_uk",3,5268,"bigram","ID","token",532164.000000002
"subtlex_uk",3,5268,"bigram","IE","token",44200.0000000001
"subtlex_uk",3,5268,"bigram","IF","token",577.000000000003
"subtlex_uk",3,5268,"bigram","IG","token",195132.999999999
"subtlex_uk",3,5268,"bigram","IH","token",111.000000000001
"subtlex_uk",3,5268,"bigram","II","token",3882.00000000003
"subtlex_uk",3,5268,"bigram","IJ","token",127
"subtlex_uk",3,5268,"bigram","IK","token",925.999999999996
"subtlex_uk",3,5268,"bigram","IL","token",29491.0000000003
"subtlex_uk",3,5268,"bigram","IM","token",346406.000000001
"subtlex_uk",3,5268,"bigram","IN","token",88497.0000000005
"subtlex_uk",3,5268,"bigram","IO","token",3562.99999999998
"subtlex_uk",3,5268,"bigram","IP","token",27718.0000000001
"subtlex_uk",3,5268,"bigram","IQ","token",8.0000000000001
"subtlex_uk",3,5268,"bigram","IR","token",76522.0000000001
"subtlex_uk",3,5268,"bigram","IS","token",508287.000000004
"subtlex_uk",3,5268,"bigram","IT","token",474271.000000001
"subtlex_uk",3,5268,"bigram","IU","token",441.000000000002
"subtlex_uk",3,5268,"bigram","IV","token",3208
"subtlex_uk",3,5268,"bigram","IW","token",38
"subtlex_uk",3,5268,"bigram","IX","token",77707.0000000006
"subtlex_uk",3,5268,"bigram","IY","token",1667.99999999999
"subtlex_uk",3,5268,"bigram","IZ","token",5152.00000000001
"subtlex_uk",3,5268,"bigram","JA","token",17265
"subtlex_uk",3,5268,"bigram","JB","token",70.0000000000002
"subtlex_uk",3,5268,"bigram","JC","token",124
"subtlex_uk",3,5268,"bigram","JD","token",36.0000000000003
"subtlex_uk",3,5268,"bigram","JE","token",6258.00000000001
"subtlex_uk",3,5268,"bigram","JF","token",250.999999999997
"subtlex_uk",3,5268,"bigram","JG","token",0
"subtlex_uk",3,5268,"bigram","JH","token",24.0000000000001
"subtlex_uk",3,5268,"bigram","JI","token",9885.99999999997
"subtlex_uk",3,5268,"bigram","JJ","token",53.0000000000001
"subtlex_uk",3,5268,"bigram","JK","token",11.0000000000001
"subtlex_uk",3,5268,"bigram","JL","token",646.000000000003
"subtlex_uk",3,5268,"bigram","JM","token",55.0000000000002
"subtlex_uk",3,5268,"bigram","JN","token",161.999999999998
"subtlex_uk",3,5268,"bigram","JO","token",104153
"subtlex_uk",3,5268,"bigram","JP","token",122
"subtlex_uk",3,5268,"bigram","JQ","token",1.99999999999998
"subtlex_uk",3,5268,"bigram","JR","token",62.9999999999994
"subtlex_uk",3,5268,"bigram","JS","token",492.999999999997
"subtlex_uk",3,5268,"bigram","JT","token",1.99999999999998
"subtlex_uk",3,5268,"bigram","JU","token",3117.99999999999
"subtlex_uk",3,5268,"bigram","JV","token",12
"subtlex_uk",3,5268,"bigram","JW","token",4.99999999999995
"subtlex_uk",3,5268,"bigram","JX","token",4.00000000000001
"subtlex_uk",3,5268,"bigram","JY","token",0
"subtlex_uk",3,5268,"bigram","JZ","token",0
"subtlex_uk",3,5268,"bigram","KA","token",7358.00000000006
"subtlex_uk",3,5268,"bigram","KB","token",22.9999999999999
"subtlex_uk",3,5268,"bigram","KC","token",21.0000000000002
"subtlex_uk",3,5268,"bigram","KD","token",15.0000000000001
"subtlex_uk",3,5268,"bigram","KE","token",33116.0000000001
"subtlex_uk",3,5268,"bigram","KF","token",150.999999999999
"subtlex_uk",3,5268,"bigram","KG","token",336.999999999998
"subtlex_uk",3,5268,"bigram","KH","token",27.0000000000001
"subtlex_uk",3,5268,"bigram","KI","token",25473.0000000001
"subtlex_uk",3,5268,"bigram","KJ","token",0
"subtlex_uk",3,5268,"bigram","KK","token",72.0000000000001
"subtlex_uk",3,5268,"bigram","KL","token",113
"subtlex_uk",3,5268,"bigram","KM","token",16.9999999999998
"subtlex_uk",3,5268,"bigram","KN","token",24.9999999999998
"subtlex_uk",3,5268,"bigram","KO","token",471.000000000001
