"corpus","sequence_length","n_sequences","ngram","biphone","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9","pos10","pos11"
"CMU",2,1000,"biphone","IX-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","UX-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","B-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","CH-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","D-AH","type",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","DH-AH","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","F-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","G-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","HH-AH","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","JH-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","K-AH","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","L-AH","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","M-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","N-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","NG-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","P-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","R-AH","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","S-AH","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","SH-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","T-AH","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","TH-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","V-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","W-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","Y-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","Z-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","ZH-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","Q-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AA-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AE-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AH-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AO-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AW-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AY-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","EH-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","ER-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","EY-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","IH-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","IY-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","OW-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","OY-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","UH-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","UW-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AX-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AXR-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","IX-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","UX-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","B-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","CH-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","D-AO","type",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","DH-AO","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","F-AO","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
