"corpus","sequence_length","n_sequences","ngram","biphone","method","freq"
"CMU",2,1000,"biphone","W-EH","type",0
"CMU",2,1000,"biphone","Y-EH","type",2
"CMU",2,1000,"biphone","Z-EH","type",1
"CMU",2,1000,"biphone","ZH-EH","type",0
"CMU",2,1000,"biphone","Q-EH","type",0
"CMU",2,1000,"biphone","AA-ER","type",0
"CMU",2,1000,"biphone","AE-ER","type",0
"CMU",2,1000,"biphone","AH-ER","type",0
"CMU",2,1000,"biphone","AO-ER","type",0
"CMU",2,1000,"biphone","AW-ER","type",3
"CMU",2,1000,"biphone","AY-ER","type",3
"CMU",2,1000,"biphone","EH-ER","type",0
"CMU",2,1000,"biphone","ER-ER","type",0
"CMU",2,1000,"biphone","EY-ER","type",1
"CMU",2,1000,"biphone","IH-ER","type",0
"CMU",2,1000,"biphone","IY-ER","type",0
"CMU",2,1000,"biphone","OW-ER","type",0
"CMU",2,1000,"biphone","OY-ER","type",1
"CMU",2,1000,"biphone","UH-ER","type",0
"CMU",2,1000,"biphone","UW-ER","type",1
"CMU",2,1000,"biphone","AX-ER","type",0
"CMU",2,1000,"biphone","AXR-ER","type",0
"CMU",2,1000,"biphone","IX-ER","type",0
"CMU",2,1000,"biphone","UX-ER","type",0
"CMU",2,1000,"biphone","B-ER","type",4
"CMU",2,1000,"biphone","CH-ER","type",0
"CMU",2,1000,"biphone","D-ER","type",4
"CMU",2,1000,"biphone","DH-ER","type",1
"CMU",2,1000,"biphone","F-ER","type",7
"CMU",2,1000,"biphone","G-ER","type",1
"CMU",2,1000,"biphone","HH-ER","type",2
"CMU",2,1000,"biphone","JH-ER","type",1
"CMU",2,1000,"biphone","K-ER","type",4
"CMU",2,1000,"biphone","L-ER","type",1
"CMU",2,1000,"biphone","M-ER","type",3
"CMU",2,1000,"biphone","N-ER","type",2
"CMU",2,1000,"biphone","NG-ER","type",0
"CMU",2,1000,"biphone","P-ER","type",4
"CMU",2,1000,"biphone","R-ER","type",0
"CMU",2,1000,"biphone","S-ER","type",2
"CMU",2,1000,"biphone","SH-ER","type",8
"CMU",2,1000,"biphone","T-ER","type",1
"CMU",2,1000,"biphone","TH-ER","type",0
"CMU",2,1000,"biphone","V-ER","type",1
"CMU",2,1000,"biphone","W-ER","type",2
"CMU",2,1000,"biphone","Y-ER","type",1
"CMU",2,1000,"biphone","Z-ER","type",0
