"corpus","sequence_length","n_sequences","ngram","phoneme","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9","pos10","pos11","pos12"
"CMU",2,1000,"phoneme","SH","type",44,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","T","type",32,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","TH","type",4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","V","type",15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","W","type",32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","Y","type",32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","Z","type",12,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","ZH","type",7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","AA","type",83,525,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","AE","type",92,465,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","AH","type",45,342,145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","AO","type",43,386,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","AW","type",18,174,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","AY","type",56,395,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","EH","type",134,459,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","ER","type",65,344,284,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","EY","type",91,481,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","IH","type",60,487,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","IY","type",70,650,297,NA,NA,NA,NA,NA,NA,NA,NA,NA
